Mutated_genes,Structural_variants_genes,CNA_genes,DEG_posi,DEG_nega,DEG,Epi_modiffications,All
Prot_Q9NR81,NA,Prot_B2RB70,Prot_Q96HC4,Prot_A8K270,Prot_Q96HC4,Prot_Q9NR81,Prot_Q9NR81
Prot_B7Z6B2,NA,Prot_P61601,Prot_B7Z8X5,Prot_Q13972,Prot_B7Z8X5,Prot_B7Z6B2,Prot_B7Z6B2
Prot_E9PG37,NA,Prot_Q92597,Prot_B7Z481,Prot_A0A0A0MRC0,Prot_B7Z481,Prot_E9PG37,Prot_E9PG37
Prot_A0A024R5H6,NA,Prot_Q8N959,Prot_A0A024RDE8,Prot_Q6V1P8,Prot_A0A024RDE8,Prot_A0A024R5H6,Prot_A0A024R5H6
Prot_Q6VY07,NA,Prot_B3KWB2,Prot_E2QRB3,Prot_Q6V1P9,Prot_E2QRB3,Prot_Q6VY07,Prot_Q6VY07
Prot_M0QYK4,NA,Prot_Q9Y6Y9,Prot_A0A024R8U9,Prot_Q59HD3,Prot_A0A024R8U9,Prot_M0QYK4,Prot_M0QYK4
Prot_O43345,NA,Prot_Q9H336,Prot_P32322,Prot_Q9NWB1,Prot_P32322,Prot_O43345,Prot_O43345
Prot_Q96JQ0,NA,Prot_B7Z8V9,Prot_J3QL32,Prot_B7Z1U7,Prot_J3QL32,Prot_Q96JQ0,Prot_Q96JQ0
Prot_A0A087WZJ7,NA,Prot_P55327,Prot_Q8TBX0,Prot_X5DNY3,Prot_Q8TBX0,Prot_A0A087WZJ7,Prot_A0A087WZJ7
Prot_B4E0L9,NA,Prot_A0A024R7X6,Prot_A9ZM15,Prot_X5D7T5,Prot_A9ZM15,Prot_B4E0L9,Prot_B4E0L9
Prot_F5H2M4,NA,Prot_Q8IZV5,Prot_Q969I3,Prot_X5DP44,Prot_Q969I3,Prot_F5H2M4,Prot_F5H2M4
Prot_A0A087X0A2,NA,Prot_A0A0S2Z563,Prot_Q5TH69,Prot_A6NH52,Prot_Q5TH69,Prot_A0A087X0A2,Prot_A0A087X0A2
Prot_Q7Z2R1,NA,Prot_Q9Y2Q9,Prot_P46013,Prot_O43745,Prot_P46013,Prot_Q7Z2R1,Prot_Q7Z2R1
Prot_O75437,NA,Prot_Q13239,Prot_O95948,Prot_O43699,Prot_O95948,Prot_O75437,Prot_O75437
Prot_Q68DY1,NA,Prot_Q8WXK4,Prot_Q9UBL6,Prot_A0A024R4K4,Prot_Q9UBL6,Prot_Q68DY1,Prot_Q68DY1
Prot_Q9Y2J2,NA,Prot_Q6ZNC4,Prot_Q9Y446,Prot_P26992,Prot_Q9Y446,Prot_Q9Y2J2,Prot_Q9Y2J2
Prot_A8K968,NA,Prot_D0PNI1,Prot_B4DZ05,Prot_Q5VZ46,Prot_B4DZ05,Prot_A8K968,Prot_A8K968
Prot_A0A0A0MRA8,NA,Prot_P63104,Prot_Q49A14,Prot_Q96PQ0,Prot_Q49A14,Prot_A0A0A0MRA8,Prot_A0A0A0MRA8
Prot_O75445,NA,Prot_P18124,Prot_B4DYZ8,Prot_Q86T65,Prot_B4DYZ8,Prot_O75445,Prot_O75445
Prot_Q7Z407,NA,Prot_O95071,Prot_Q6ZU64,Prot_A0A0J9YYF7,Prot_Q6ZU64,Prot_Q7Z407,Prot_Q7Z407
Prot_F5GXR6,NA,Prot_Q9Y5J3,Prot_Q86TE4,Prot_Q6UXX9,Prot_Q86TE4,Prot_F5GXR6,Prot_F5GXR6
Prot_Q8IUG5,NA,Prot_B4DEI9,Prot_Q96MR6,Prot_B3KVP3,Prot_Q96MR6,Prot_Q8IUG5,Prot_Q8IUG5
Prot_A0A075B6F5,NA,Prot_Q7LG56,Prot_A0A087WVY5,Prot_P51816,Prot_A0A087WVY5,Prot_A0A075B6F5,Prot_A0A075B6F5
Prot_Q8TCU4,NA,NA,Prot_Q8IXN7,Prot_Q96MS3,Prot_Q8IXN7,Prot_Q8TCU4,Prot_Q8TCU4
Prot_P56715,NA,NA,Prot_Q24JP5,Prot_P54710,Prot_Q24JP5,Prot_P56715,Prot_P56715
Prot_B3KY81,NA,NA,Prot_Q6ZU67,Prot_P27469,Prot_Q6ZU67,Prot_B3KY81,Prot_B3KY81
Prot_Q8WXI7,NA,NA,Prot_Q9C0H9,Prot_B4DVP5,Prot_Q9C0H9,Prot_Q8WXI7,Prot_Q8WXI7
Prot_A0A1U9XBC1,NA,NA,Prot_A0A024R5Y5,Prot_J3KPQ0,Prot_A0A024R5Y5,Prot_A0A1U9XBC1,Prot_A0A1U9XBC1
Prot_A1Z5I9,NA,NA,Prot_Q96L94,Prot_P22455,Prot_Q96L94,Prot_A1Z5I9,Prot_A1Z5I9
Prot_Q14676,NA,NA,Prot_Q6ZTF9,Prot_C9J6G4,Prot_Q6ZTF9,Prot_Q14676,Prot_Q14676
Prot_Q5VU43,NA,NA,Prot_P49327,Prot_Q8TEU8,Prot_P49327,Prot_Q5VU43,Prot_Q5VU43
Prot_A0A0A0MRL8,NA,NA,Prot_Q8NCD3,Prot_O00295,Prot_Q8NCD3,Prot_A0A0A0MRL8,Prot_A0A0A0MRL8
Prot_A0A087WYE4,NA,NA,Prot_D3DTV9,Prot_P55107,Prot_D3DTV9,Prot_A0A087WYE4,Prot_A0A087WYE4
Prot_A0A087WVF8,NA,NA,Prot_A0A087X2F6,Prot_P49238,Prot_A0A087X2F6,Prot_A0A087WVF8,Prot_A0A087WVF8
Prot_A0A0A0MRM1,NA,NA,Prot_Q8TAU0,Prot_A0A024R7V4,Prot_Q8TAU0,Prot_A0A0A0MRM1,Prot_A0A0A0MRM1
Prot_A0A0A0MRM0,NA,NA,Prot_Q7L7L0,Prot_P01210,Prot_Q7L7L0,Prot_A0A0A0MRM0,Prot_A0A0A0MRM0
Prot_A0A075B749,NA,NA,Prot_E7EPC8,Prot_Q9Y6Z7,Prot_E7EPC8,Prot_A0A075B749,Prot_A0A075B749
Prot_Q8TDW7,NA,NA,Prot_Q9UQB3,Prot_A0A024R9J3,Prot_Q9UQB3,Prot_Q8TDW7,Prot_Q8TDW7
Prot_Q9BYH8,NA,NA,Prot_B4DRK2,Prot_Q5TAT6,Prot_B4DRK2,Prot_Q9BYH8,Prot_Q9BYH8
Prot_B4E3R1,NA,NA,Prot_B4DJU1,Prot_Q04671,Prot_B4DJU1,Prot_B4E3R1,Prot_B4E3R1
Prot_B7Z9Y6,NA,NA,Prot_O00238,Prot_Q8N6U8,Prot_O00238,Prot_B7Z9Y6,Prot_B7Z9Y6
Prot_F8WAI0,NA,NA,Prot_A8KAE3,Prot_A0A0A0MQW8,Prot_A8KAE3,Prot_F8WAI0,Prot_F8WAI0
Prot_Q8NF91,NA,NA,Prot_Q52WX2,Prot_B7Z625,Prot_Q52WX2,Prot_Q8NF91,Prot_Q8NF91
